calendar_year,total_smolt,tagged_smolt,age_1_sampled,age_2_sampled,coho_adult,coho_jack,1.0_count,1.1_count,2.0_count,2.1_count,1.0_mean_length,1.1_mean_length,2.0_mean_length,2.1_mean_length,coho_troll_catch,coho_seine_catch,coho_gillnet_catch,coho_sport_catch
1980,9951,9821,159,174,698,266,4,52,42,36,311.5,607.3269231,327.4285714,613.1666667,51,0,13,6
1981,6479,6392,111,117,578,217,,108,,82,,630.4074074,,647.597561,256,0,29,15
1982,6213,6175,88,94,462,339,2,75,22,128,301,612.3333333,325.4090909,629.9921875,138,120,23,9
1983,6283,6115,98,81,694,261,1,186,35,208,275,609.5860215,320.6857143,638.9855769,359,12,26,76
1984,6815,6638,164,126,651,315,3,148,129,269,294,637.8378378,336.0697674,652.2118959,366,0,84,38
1985,5589,5546,201,48,942,123,,72,,94,,643.4027778,,651.4893617,592,3,71,44
1986,5544,5490,113,85,453,307,5,126,30,112,301,626.031746,315.5,641.4285714,396,0,57,45
1987,7047,6883,146,48,661,204,,56,,66,,623.75,,633.3333333,439,10,48,34
1988,7816,7751,320,202,744,405,7,118,57,214,304.2857143,626.2288136,326.7017544,638.7242991,301,9,71,52
1989,6826,6819,186,73,501,369,,149,,268,,609.8322148,,619.8544776,537,6,15,58
1990,5051,5020,155,51,680,163,,62,24,109,,604.7580645,301.6666667,611.7889908,625,15,55,55
1991,5714,5692,167,123,818,314,,60,29,153,,592.1666667,333.2758621,604.0196078,97,7,74,5
1992,6112,6106,305,369,988,169,19,106,70,164,313.5263158,585.8584906,333.3285714,618.4329268,207,6,67,16
1993,7887,7845,328,271,859,662,53,135,242,314,321.6981132,594.1333333,336.1570248,612.7388535,544,5,83,22
1994,7287,7255,408,284,1437,229,7,59,79,191,291.4285714,620.5932203,310.1265823,646.0732984,927,185,191,100
1995,4826,4798,182,147,459,185,7,107,87,268,271.4285714,604.1121495,314.6551724,618.4514925,259,6,65,39
1996,3925,3919,233,138,469,144,8,41,54,140,276.875,599.6341463,306.5740741,614.5714286,449,11,124,54
1997,6089,6082,165,106,558,375,5,132,109,153,299,608.1060606,326.2293578,635.2026144,94,7,0,61
1998,7380,7379,357,338,862,422,4,76,58,123,288.75,613.5394737,322.362069,639.1219512,437,19,34,43
1999,5126,5123,253,368,844,150,3,74,33,121,293.6666667,569.0540541,306.4848485,601.8181818,485,5,59,51
2000,4867,4862,143,250,669,227,6,77,26,229,304.5,589.2207792,318.8076923,618.1004367,222,10,22,80
2001,5690,5690,165,379,865,155,4,156,33,137,281.25,596.6987179,302.7575758,625.5839416,425,14,41,73
2002,3410,3401,81,242,1168,103,4,157,27,137,270,603.5350318,303.5555556,621.7883212,271,13,73,68
2003,3533,3533,232,198,584,244,,274,60,226,,614.9817518,345.5666667,626.0176991,199,5,56,42
2004,4549,4549,163,224,415,222,3,105,42,110,331.3333333,608.4857143,324.6428571,628.8636364,195,29,71,20
2005,4291,4287,313,125,450,256,4,94,66,108,318.25,587.393617,322,608.6111111,237,0,6,56
2006,4515,4506,179,108,581,141,4,153,42,158,310,609.5424837,314.9285714,621.2658228,195,0,76,27
2007,4059,4056,200,195,352,106,1,112,27,86,265,587.5535714,303.8148148,613.7790698,135,6,30,13
2008,3824,3817,172,174,599,110,5,88,16,162,307,639.4318182,315.9375,657.0987654,296,0,76,22
2009,4667,4656,266,177,401,150,10,87,38,74,296,581.091954,307.7631579,626.2837838,179,0,46,8
2010,6061,6053,288,302,418,419,4,64,108,92,292.5,596.25,329.8148148,618.0434783,194,0,134,18
2011,10333,10312,397,152,516,376,4,42,94,82,266.25,582.6190476,317.8191489,602.195122,137,30,94,16
2012,6108,6096,141,243,835,121,,100,27,128,,589.03,309.3703704,603.2890625,216,4,7,17
2013,9013,8994,189,250,736,214,1,61,64,152,315,589.7868852,293.953125,612.4013158,407,28,69,27
2014,5782,5769,196,335,1533,301,1,164,59,141,240,609.0243902,322.3728814,626.7021277,250,0,101,19
2015,6428,6418,265,173,576,78,1,62,22,91,325,592.2580645,335.4761905,605.8791209,140,2,14,17
2016,9326,9320,210,173,204,252,8,27,49,43,317.5,605.3703704,350.8163265,610.9302326,19,0,47,0
2017,4121,4118,176,103,275,19,1,36,4,24,280,584.4594595,293.75,616.7083333,159,0,18,14
