year,A,S_tot_obs,n_age2_obs,n_age3_obs,n_H_obs,n_W_obs,fit_p_HOS,F_rate,B_take_obs,coho_troll_catch,coho_seine_catch,coho_gillnet_catch,coho_sport_catch
1980,1,964,698,266,0,0,0,0,70,51,0,13,6
1981,1,795,578,217,0,0,0,0,300,256,0,29,15
1982,1,801,462,339,0,0,0,0,290,138,120,23,9
1983,1,955,694,261,0,0,0,0,473,359,12,26,76
1984,1,966,651,315,0,0,0,0,488,366,0,84,38
1985,1,1065,942,123,0,0,0,0,710,592,3,71,44
1986,1,760,453,307,0,0,0,0,498,396,0,57,45
1987,1,865,661,204,0,0,0,0,531,439,10,48,34
1988,1,1149,744,405,0,0,0,0,433,301,9,71,52
1989,1,870,501,369,0,0,0,0,616,537,6,15,58
1990,1,843,680,163,0,0,0,0,750,625,15,55,55
1991,1,1132,818,314,0,0,0,0,183,97,7,74,5
1992,1,1157,988,169,0,0,0,0,296,207,6,67,16
1993,1,1521,859,662,0,0,0,0,654,544,5,83,22
1994,1,1666,1437,229,0,0,0,0,1403,927,185,191,100
1995,1,644,459,185,0,0,0,0,369,259,6,65,39
1996,1,613,469,144,0,0,0,0,638,449,11,124,54
1997,1,933,558,375,0,0,0,0,162,94,7,0,61
1998,1,1284,862,422,0,0,0,0,533,437,19,34,43
1999,1,994,844,150,0,0,0,0,600,485,5,59,51
2000,1,896,669,227,0,0,0,0,334,222,10,22,80
2001,1,1020,865,155,0,0,0,0,553,425,14,41,73
2002,1,1271,1168,103,0,0,0,0,425,271,13,73,68
2003,1,828,584,244,0,0,0,0,302,199,5,56,42
2004,1,637,415,222,0,0,0,0,315,195,29,71,20
2005,1,706,450,256,0,0,0,0,299,237,0,6,56
2006,1,722,581,141,0,0,0,0,298,195,0,76,27
2007,1,458,352,106,0,0,0,0,184,135,6,30,13
2008,1,709,599,110,0,0,0,0,394,296,0,76,22
2009,1,551,401,150,0,0,0,0,233,179,0,46,8
2010,1,837,418,419,0,0,0,0,346,194,0,134,18
2011,1,892,516,376,0,0,0,0,277,137,30,94,16
2012,1,956,835,121,0,0,0,0,244,216,4,7,17
2013,1,950,736,214,0,0,0,0,531,407,28,69,27
2014,1,1834,1533,301,0,0,0,0,370,250,0,101,19
2015,1,654,576,78,0,0,0,0,173,140,2,14,17
2016,1,456,204,252,0,0,0,0,66,19,0,47,0
2017,1,294,275,19,0,0,0,0,191,159,0,18,14
