year,obs_type,pop,A,M_obs,n_Mage2_obs,n_Mage3_obs,S_obs,n_MSage0_obs,n_MSage1_obs,n_GRage2_2_obs,n_GRage3_2_obs,n_GRage3_3_obs,n_GRage4_3_obs,n_age2_obs,n_age3_obs,n_age4_obs,n_W_obs,n_H_obs,fit_p_HOS,F_rate,B_take_obs,coho_troll_catch,coho_seine_catch,coho_gillnet_catch,coho_sport_catch
1980,past,1,1,9951,159,174,964,266,698,4,52,42,36,4,94,36,0,0,0,0,70,51,0,13,6
1981,past,1,1,6479,111,117,795,217,578,0,108,0,82,0,108,82,0,0,0,0,300,256,0,29,15
1982,past,1,1,6213,88,94,801,339,462,2,75,22,128,2,97,128,0,0,0,0,290,138,120,23,9
1983,past,1,1,6283,98,81,955,261,694,1,186,35,208,1,221,208,0,0,0,0,473,359,12,26,76
1984,past,1,1,6815,164,126,966,315,651,3,148,129,269,3,277,269,0,0,0,0,488,366,0,84,38
1985,past,1,1,5589,201,48,1065,123,942,0,72,0,94,0,72,94,0,0,0,0,710,592,3,71,44
1986,past,1,1,5544,113,85,760,307,453,5,126,30,112,5,156,112,0,0,0,0,498,396,0,57,45
1987,past,1,1,7047,146,48,865,204,661,0,56,0,66,0,56,66,0,0,0,0,531,439,10,48,34
1988,past,1,1,7816,320,202,1149,405,744,7,118,57,214,7,175,214,0,0,0,0,433,301,9,71,52
1989,past,1,1,6826,186,73,870,369,501,0,149,0,268,0,149,268,0,0,0,0,616,537,6,15,58
1990,past,1,1,5051,155,51,843,163,680,0,62,24,109,0,86,109,0,0,0,0,750,625,15,55,55
1991,past,1,1,5714,167,123,1132,314,818,0,60,29,153,0,89,153,0,0,0,0,183,97,7,74,5
1992,past,1,1,6112,305,369,1157,169,988,19,106,70,164,19,176,164,0,0,0,0,296,207,6,67,16
1993,past,1,1,7887,328,271,1521,662,859,53,135,242,314,53,377,314,0,0,0,0,654,544,5,83,22
1994,past,1,1,7287,408,284,1666,229,1437,7,59,79,191,7,138,191,0,0,0,0,1403,927,185,191,100
1995,past,1,1,4826,182,147,644,185,459,7,107,87,268,7,194,268,0,0,0,0,369,259,6,65,39
1996,past,1,1,3925,233,138,613,144,469,8,41,54,140,8,95,140,0,0,0,0,638,449,11,124,54
1997,past,1,1,6089,165,106,933,375,558,5,132,109,153,5,241,153,0,0,0,0,162,94,7,0,61
1998,past,1,1,7380,357,338,1284,422,862,4,76,58,123,4,134,123,0,0,0,0,533,437,19,34,43
1999,past,1,1,5126,253,368,994,150,844,3,74,33,121,3,107,121,0,0,0,0,600,485,5,59,51
2000,past,1,1,4867,143,250,896,227,669,6,77,26,229,6,103,229,0,0,0,0,334,222,10,22,80
2001,past,1,1,5690,165,379,1020,155,865,4,156,33,137,4,189,137,0,0,0,0,553,425,14,41,73
2002,past,1,1,3410,81,242,1271,103,1168,4,157,27,137,4,184,137,0,0,0,0,425,271,13,73,68
2003,past,1,1,3533,232,198,828,244,584,0,274,60,226,0,334,226,0,0,0,0,302,199,5,56,42
2004,past,1,1,4549,163,224,637,222,415,3,105,42,110,3,147,110,0,0,0,0,315,195,29,71,20
2005,past,1,1,4291,313,125,706,256,450,4,94,66,108,4,160,108,0,0,0,0,299,237,0,6,56
2006,past,1,1,4515,179,108,722,141,581,4,153,42,158,4,195,158,0,0,0,0,298,195,0,76,27
2007,past,1,1,4059,200,195,458,106,352,1,112,27,86,1,139,86,0,0,0,0,184,135,6,30,13
2008,past,1,1,3824,172,174,709,110,599,5,88,16,162,5,104,162,0,0,0,0,394,296,0,76,22
2009,past,1,1,4667,266,177,551,150,401,10,87,38,74,10,125,74,0,0,0,0,233,179,0,46,8
2010,past,1,1,6061,288,302,837,419,418,4,64,108,92,4,172,92,0,0,0,0,346,194,0,134,18
2011,past,1,1,10333,397,152,892,376,516,4,42,94,82,4,136,82,0,0,0,0,277,137,30,94,16
2012,past,1,1,6108,141,243,956,121,835,0,100,27,128,0,127,128,0,0,0,0,244,216,4,7,17
2013,past,1,1,9013,189,250,950,214,736,1,61,64,152,1,125,152,0,0,0,0,531,407,28,69,27
2014,past,1,1,5782,196,335,1834,301,1533,1,164,59,141,1,223,141,0,0,0,0,370,250,0,101,19
2015,past,1,1,6428,265,173,654,78,576,1,62,22,91,1,84,91,0,0,0,0,173,140,2,14,17
2016,past,1,1,9326,210,173,456,252,204,8,27,49,43,8,76,43,0,0,0,0,66,19,0,47,0
2017,past,1,1,4121,176,103,294,19,275,1,36,4,24,1,40,24,0,0,0,0,191,159,0,18,14
2018,past,1,1,4746,0,0,159,13,146,0,0,0,0,0,0,0,0,0,0,0,166,57,0,93,16
2019,past,1,1,3237,0,0,457,112,345,0,0,0,0,0,0,0,0,0,0,0,126,25,0,95,6
