year,hpc_release,mean_stream_temp
1980,18957158,7.525956284
1981,55817990,7.896978022
1982,72870453,6.726986301
1983,111945525,7.258587258
1984,158880431,7.560382514
1985,180073448,6.246575342
1986,228419049,7.165753425
1987,234109918,7.786575342
1988,304835948,7.348907104
1989,266959126,7.762191781
1990,250159394,7.870684932
1991,387861421,6.88
1992,408045941,7.620491803
1993,456090406,8.192328767
1994,361633368,7.590383562
1995,464494524,7.81283105
1996,505883373,7.210085647
1997,453136388,8.57890411
1998,446299979,8.870410959
1999,437933127,7.198438356
2000,475377546,7.976229508
2001,430965047,7.681757991
2002,405618779,7.413173516
2003,433170025,7.923401826
2004,510567483,8.706427987
2005,515250806,8.727232877
2006,457053592,7.292520548
2007,539456935,6.998520548
2008,481554045,6.940877685
2009,428413603,7.241415525
2010,522111636,8.10890411
2011,499241141,8.596700796
2012,572290369,6.93852459
2013,575384583,8.258835616
2014,578060983,9.23837535
2015,559892138,9.119478261
